"census_tract","med_inc_estimate","med_age_estimate","perc_poverty_estimate","perc_owners","perc_ethnic","counts","residuals"
36047018600,77500,46.5,10.8,50.8823529411765,100,1,-1.69388913147683
36047018700,116842,35.3,10.8,39.0384615384615,74.7945205479452,2,-1.15916447431676
36047018800,68304,42.3,17.2,41.9413919413919,99.9302406696896,4,0.929334668279969
36047019000,63289,35.1,13.5,19.3138500635324,99.1980927611617,4,0.368619491140277
36047019100,148051,32.5,10.8,36.6925064599483,89.5161290322581,7,3.64710898254346
36047019200,63807,34.2,18.5,38.957475994513,99.7492836676218,4,0.591995139514932
36047019300,72806,31.4,17.9,50.261780104712,68.7911326636647,2,-1.17720303071974
36047019400,49309,39.1,30.3,42.0906567992599,99.6506827564306,2,-1.35562284664518
36047019600,82500,44,26.4,38.7137452711223,92.0949432404541,5,1.83779995292642
36047019700,114191,41.5,5.2,55.2812858783008,75.054347826087,3,0.393400892267445
36047019800,81719,38.9,10.4,58.5365853658537,99.9513855128828,4,1.18455307159794
36047019900,123107,32.8,10.3,13.070220399795,79.6203238414294,1,-2.68562935870687
36047020000,91750,43.5,18.5,57.7086280056577,99.7831743278404,1,-1.78704605488443
36047020100,142589,36.3,8.4,31.8592964824121,74.0479548660085,6,2.79183621994532
36047020300,191083,33.9,8.4,38.7577639751553,87.3602333495382,4,0.770334232399043
