GEOID,NAME,B01003_001_estimate,B02001_001_estimate,med_inc_estimate,B25003_001_estimate,S1701_C01_001_estimate,B01003_001_moe,B02001_001_moe,med_inc_moe,B25003_001_moe,S1701_C01_001_moe
36005004800,"Census Tract 48, Bronx County, New York",4464,4464,33500,1504,4438,606,606,18974,157,602
36005005001,"Census Tract 50.01, Bronx County, New York",4304,4304,28353,1328,4216,630,630,4831,137,623
36005005002,"Census Tract 50.02, Bronx County, New York",6393,6393,34013,1946,6347,1051,1051,9630,200,1047
36005005100,"Census Tract 51, Bronx County, New York",6087,6087,19731,2186,6075,1101,1101,2822,239,1101
36005005200,"Census Tract 52, Bronx County, New York",1833,1833,21397,825,1833,269,269,10292,97,269
36005005300,"Census Tract 53, Bronx County, New York",5472,5472,20449,1664,5446,709,709,4459,163,709
36005005400,"Census Tract 54, Bronx County, New York",5638,5638,45625,1736,5638,820,820,7008,219,820
36005005600,"Census Tract 56, Bronx County, New York",2168,2168,40341,883,2168,352,352,18035,160,352
36005005902,"Census Tract 59.02, Bronx County, New York",2730,2730,44917,1172,2730,480,480,19979,201,480
36005006000,"Census Tract 60, Bronx County, New York",1295,1295,34239,380,1295,363,363,8749,72,363
36005006100,"Census Tract 61, Bronx County, New York",3955,3955,60685,2059,3955,628,628,19980,330,628
36005006200,"Census Tract 62, Bronx County, New York",6710,6710,24769,2550,6710,809,809,9198,308,809
36005006301,"Census Tract 63.01, Bronx County, New York",5521,5521,50273,2110,5521,793,793,9427,212,793
36005006400,"Census Tract 64, Bronx County, New York",4061,4061,35144,1329,4008,578,578,12605,201,554
36005006500,"Census Tract 65, Bronx County, New York",5681,5681,21962,2055,5632,908,908,5408,255,905
36005006700,"Census Tract 67, Bronx County, New York",6993,6993,15957,2571,6993,1404,1404,3536,479,1404
36005006800,"Census Tract 68, Bronx County, New York",2765,2765,38125,944,2765,569,569,17802,165,569
36005006900,"Census Tract 69, Bronx County, New York",7255,7255,32887,2897,7249,1030,1030,16998,361,1033
36005007000,"Census Tract 70, Bronx County, New York",4235,4235,53014,1248,4214,645,645,16040,135,644
36005007100,"Census Tract 71, Bronx County, New York",2827,2827,43079,1091,2769,386,386,5858,131,383
36005007200,"Census Tract 72, Bronx County, New York",6430,6430,54097,1689,6409,959,959,13340,220,958
36005007300,"Census Tract 73, Bronx County, New York",4301,4301,25619,1483,4247,662,662,6243,226,661
36005007400,"Census Tract 74, Bronx County, New York",3078,3078,37352,1285,3078,578,578,10469,120,578
36005007500,"Census Tract 75, Bronx County, New York",6295,6295,30413,2267,6295,915,915,10065,215,915
36005007600,"Census Tract 76, Bronx County, New York",5293,5293,51625,1829,5264,795,795,16248,224,793
36005007700,"Census Tract 77, Bronx County, New York",2165,2165,48333,570,2161,536,536,14767,78,531
36005007800,"Census Tract 78, Bronx County, New York",6301,6301,54615,1952,6245,773,773,10950,156,743
36005007900,"Census Tract 79, Bronx County, New York",7157,7157,22534,2328,7151,963,963,12954,243,962
36005008300,"Census Tract 83, Bronx County, New York",6121,6121,42386,2270,6112,913,913,4187,257,913
36005008400,"Census Tract 84, Bronx County, New York",3290,3290,66373,996,3285,625,625,26780,357,616
36005008500,"Census Tract 85, Bronx County, New York",5706,5706,33065,2142,5539,719,719,11020,253,686
36005008600,"Census Tract 86, Bronx County, New York",4134,4134,25608,1585,4032,882,882,8900,259,884
36005008700,"Census Tract 87, Bronx County, New York",6328,6328,30357,2038,6202,821,821,11747,192,822
36005008900,"Census Tract 89, Bronx County, New York",3197,3197,29599,1227,3187,451,451,8937,204,451
36005009000,"Census Tract 90, Bronx County, New York",3693,3693,30953,1244,3632,610,610,5699,173,580
36005009200,"Census Tract 92, Bronx County, New York",6122,6122,54924,1841,6087,792,792,10584,157,780
36005009301,"Census Tract 93.01, Bronx County, New York",4928,4928,39606,1773,4794,943,943,9893,241,943
36005009600,"Census Tract 96, Bronx County, New York",2762,2762,49638,861,2515,385,385,10878,146,337
36005009800,"Census Tract 98, Bronx County, New York",4818,4818,73622,1607,4569,714,714,10155,138,663
36005011502,"Census Tract 115.02, Bronx County, New York",4210,4210,23791,1377,4096,767,767,8231,212,763
36005011701,"Census Tract 117.01, Bronx County, New York",1608,1608,37781,499,1608,286,286,16351,30,286
36005011800,"Census Tract 118, Bronx County, New York",6041,6041,101875,1594,4611,764,764,20484,155,714
36005011900,"Census Tract 119, Bronx County, New York",6193,6193,32007,1942,6168,1055,1055,6069,188,1053
36005012101,"Census Tract 121.01, Bronx County, New York",3267,3267,48152,994,3232,452,452,7333,89,452
36005012102,"Census Tract 121.02, Bronx County, New York",1463,1463,27281,580,1452,288,288,8135,135,285
36005012300,"Census Tract 123, Bronx County, New York",4582,4582,39258,1610,4574,949,949,9772,212,946
36005012500,"Census Tract 125, Bronx County, New York",4014,4014,45966,1312,4012,608,608,15894,147,610
36005012701,"Census Tract 127.01, Bronx County, New York",2207,2207,34960,756,2178,603,603,16044,113,595
36005012901,"Census Tract 129.01, Bronx County, New York",4961,4961,34329,1649,4772,869,869,8410,226,681
36005013000,"Census Tract 130, Bronx County, New York",1297,1297,55333,456,1297,440,440,22188,109,440
36005013100,"Census Tract 131, Bronx County, New York",5252,5252,25227,2080,5246,670,670,12848,250,670
36005013200,"Census Tract 132, Bronx County, New York",7288,7288,122179,2600,7287,997,997,30880,328,997
36005013300,"Census Tract 133, Bronx County, New York",6236,6236,32326,2257,6211,1186,1186,6541,316,1177
36005013500,"Census Tract 135, Bronx County, New York",3492,3492,17385,1469,3492,681,681,16404,220,681
36005013800,"Census Tract 138, Bronx County, New York",3077,3077,81164,1165,3077,513,513,9636,193,513
